type,brand,campaign,classification,guideline,severity,reasoning
FN,Mercado Pago,Campanha Mercado Pago,GENERAL_GUIDELINE,"Não mencionar ou escrever: ""conta Mercado Pago"", ""conta digital Mercado Pago"", ""conta corrente"", ""conta remunerada"", ""cofrinhos Mercado Pago"", ""investir"", ""investimento"", ""reservar"", ""reserva"", ""reser",5,"A diretriz proíbe a menção ou escrita de termos específicos como ""conta Mercado Pago"", ""investir"", ""investimento"", ""reservar"", ""reserva"", ""reserva de emergência"", ""aplicar"" e ""aplicação"". A análise da transcrição de áudio e da descrição visual não revela nenhuma ocorrência desses termos proibidos. O"
FN,Vizzela,Vizzela | Base Satin de look novo!,GENERAL_GUIDELINE,"Mencione que a Base Satin da Vizzela mudou de embalagem, mas segue perfeita por dentro.",3,"A criadora menciona claramente que a Base Satin da Vizzela está ""de embalagem nova"" aos 00:05. Embora não use a frase exata ""segue perfeita por dentro"", ela transmite a mesma intenção ao dizer ""é óbvio que eu tinha que vir testar aqui com vocês"", implicando que a qualidade interna é mantida e digna "
FN,L’Oréal DPP,L'Oréal Professionnel - Teste nossa máscara,GENERAL_GUIDELINE,Mostrar a embalagem da máscara L'Oréal Professionnel durante a aplicação.,3,"A diretriz exige que a embalagem da máscara L'Oréal Professionnel seja mostrada durante a aplicação. O vídeo mostra a embalagem do produto ""Absolut Repair Molecular"" da L'Oréal Professionnel de forma proeminente e clara em diversos momentos, como aos 00:00, 00:05, 00:09 e 00:24. Aos 00:15, a criador"
FN,Mercado Pago,Mercado Pago - Shorts,GENERAL_GUIDELINE,Falar que o Mercado Pago é uma conta,3,"A diretriz exige que o Mercado Pago seja referido como uma ""conta"". A transcrição de áudio e a análise de conceito indicam que a criadora menciona ""O Mercado Pago é cheio de vantagens, amiga"" aos 00:31. Embora não use a palavra exata ""conta"", a intenção da diretriz é posicionar o Mercado Pago como u"
FN,Betano,Divulgação Betano,GENERAL_GUIDELINE,Falar o call to action no vídeo: Cadastre-se e aproveite rodadas a partir de 10 centavos.,3,"O criador menciona o call to action ""Cadastre-se e divirta-se, são rodadas a partir de 10 centavos"" aos 00:43, o que apresenta uma similaridade semântica de 97.84% com a diretriz ""Cadastre-se e aproveite rodadas a partir de 10 centavos"". A pequena variação (""divirta-se"" em vez de ""aproveite"" e ""são"""
FN,Mercafé,3 corações | Mercafé | Dia do cliente,GENERAL_GUIDELINE,"Falar a frase: ""Chegou o seu momento"" ao divulgar a promoção da semana do cliente no site Mercafé.",3,"A diretriz exige que a frase ""Chegou o seu momento"" seja falada. O criador utilizou a frase ""Chegou o meu momento e ele pode ser o seu também"" aos 00:00. A ferramenta de similaridade semântica indicou 93.58% de similaridade, o que é considerado alto. Embora haja uma pequena variação (""o meu momento "
FN,L’Oréal DPP,Kérastase - Óléos,GENERAL_GUIDELINE,"Após aplicação do produto em seu cabelo, mencione que está mostrando resultado do produto",3,"A diretriz exige que, após a aplicação do produto, seja mencionada a exibição do resultado. A creator, aos 00:05, afirma: ""Mas o óleo Blond Absolu da Kérastase tem sido o meu salva-vidas."" Embora não use as palavras exatas ""resultado do produto"", a frase ""salva-vidas"" no contexto de cuidado capilar "
FN,L'Oréal LBD,L´oreal | Vichy | Collagen Specialist 16 - C5,GENERAL_GUIDELINE,"Esclarecer que o produto 'Sérum Colágeno 16' é um estimulador de colágeno tópico, e não um bioestimulador injetável ou suplemento de colágeno oral.",3,"A diretriz exige o esclarecimento de que o produto é um estimulador de colágeno tópico, e não injetável ou oral. A análise visual e de áudio mostra que o vídeo foca exclusivamente na aplicação tópica do sérum no rosto, com a criadora mencionando ""rotina de skin care"" e ""pele absorve rapidinho"". Embo"
FN,GOL Linhas Aéreas,GOL | Orange Friday - Esquenta Orange,GENERAL_GUIDELINE,"Comunicar que a GOL é a parceira ideal para realizar o sonho de viagem, levando para todas as regiões do Brasil e diversos destinos internacionais, sempre com conforto e pontualidade.",3,"O vídeo comunica que a GOL opera em destinos nacionais e internacionais, o que está alinhado com a diretriz de levar a todas as regiões do Brasil e diversos destinos internacionais. A menção da Orange Friday como oportunidade para conectar ao destino desejado reforça a GOL como parceira ideal. A dur"
FN,Magazine Luiza,Pay Day Magalu,GENERAL_GUIDELINE,"Não utilizar roupas ou decorações predominantes nas cores laranja, amarela e vermelha que remetam à identidade visual de outras marcas concorrentes do Magazine Luiza.",3,"A diretriz proíbe o uso de roupas ou decorações predominantes nas cores laranja, amarela e vermelha que remetam à identidade visual de outras marcas concorrentes do Magazine Luiza. No vídeo, a criadora aparece em um ambiente interno usando um vestido floral amarelo e branco dos 00:05 aos 00:25. Embo"
FP,Cogna Educação,Cogna | Cursos de Graduação Consideração II ,TIME_CONSTRAINTS_GUIDELINE,Os 3 primeiros segundos do vídeo devem ser usados para captar a atenção do público.,2,"A diretriz estabelece que os 3 primeiros segundos do vídeo devem ser usados para captar a atenção do público. A análise visual e de áudio não identifica um elemento específico que cumpra essa função de forma proeminente ou intencional. O vídeo começa com texto na tela (""POR MUITO TEMPO"", ""EU DEIXEI "
FP,L'Oréal LBD,L'Oréal | SKC | Campanha B de Beleza,TIME_CONSTRAINTS_GUIDELINE,Apresentar o Multi-Glycan e o PTIOX visualmente ou mencioná-los nos primeiros 15 segundos do vídeo.,2,"A diretriz exige que o Multi-Glycan e o PTIOX sejam apresentados visualmente ou mencionados nos primeiros 15 segundos do vídeo. Conforme a análise visual, o frasco ""HA INTENSIFIER MULTI-GLYCAN"" é visível a partir de 00:00 e o frasco ""P-TIOX"" também é visível a partir de 00:00. No entanto, a diretriz"
